Название категории;Название группы;Название подгруппы;Название раздела;Название подраздела;ID товара;Название товара;Цена;Склад;
Все мотоблоки;Мотоблоки;;;; 171;Мотоблок МКМ-3-К7 Lander (Пахарь);32900;99;
Все мотоблоки;Мотоблоки;;;; 170;Мотоблок МКМ-3-Л6,5 Lander (Пахарь);26500;99;
Все мотоблоки;Мотоблоки;;;; 169;Мотоблок МКМ-3-С6 Премиум Lander (Пахарь);34000;99;
Все мотоблоки;Мотоблоки;;;; 168;Мотоблок МКМ-3-С6 Lander (Пахарь);32500;99;
Все мотоблоки;Мотоблоки;;;; 167;Мотоблок МКМ-3-С7 Lander (Пахарь);34500;99;
Все мотокультиваторы;Мотокультиваторы;;;; 166;Электрокультиватор Eurosystems Lucciola;5500;99;
Все мотокультиваторы;Мотокультиваторы;;;; 165;Электрокультиватор Eurosystems Z-1;8500;99;
Все мотокультиваторы;Мотокультиваторы;;;; 164;Электрокультиватор Eurosystems La Zappa 1300;11500;99;
Все мотокультиваторы;Мотокультиваторы;;;; 163;Мотокультиватор Нева МКМ-75-01Р;20900;99;
Все мотокультиваторы;Мотокультиваторы;;;; 162;Мотокультиватор Нева МК-100-07Р;24500;99;
Все мотокультиваторы;Мотокультиваторы;;;; 161;Мотокультиватор Нева МК-100-07;22900;99;
Все мотокультиваторы;Мотокультиваторы;;;; 160;Мотокультиватор Нева МК-100-05Р;24500;99;
Все мотокультиваторы;Мотокультиваторы;;;; 159;Мотокультиватор Нева МК-100-05;22900;99;
Все мотокультиваторы;Мотокультиваторы;;;; 158;Мотокультиватор МКМ-2-С6,0 Lander;24990;99;
Все мотокультиваторы;Мотокультиваторы;;;; 157;Мотокультиватор МКМ-2-Б6,0 Lander;23500;99;
Все мотокультиваторы;Мотокультиваторы;;;; 156;Мотокультиватор МКМ-2-Л5,5 Lander;20500;99;
Все мотокультиваторы;Мотокультиваторы;;;; 155;Мотокультиватор МКМ-2-Л4,0 Lander;19990;99;
Плуги;Навесное оборудование;;;; 145;Плуг двухоборотный для мотоблока;4050;99;
Плуги;Навесное оборудование;;;; 144;Плуг Крот для мотоблока;990;99;
Плуги;Навесное оборудование;;;; 143;Плуг П1-20/3 для мотоблока;1290;99;
Окучники;Навесное оборудование;;;; 141;Окучник ОН-2 для мотокультиваторов;900;99;
Окучники;Навесное оборудование;;;; 140;Окучник ОН-2/2 для мотоблоков;1000;99;
Окучники;Навесное оборудование;;;; 139;Окучник для мотоблоков двухрядный;3100;99;
Плуги;Навесное оборудование;;;; 71;Плуг П1-20/2 для мотоблока;1200;99;
